OBJECTID,NAME,TYPE,DISTANCE,STATUS,GOVT_ORG
1,PORTER ST,SHARROW,,COMPLETED,CITY
2,SAINT ANNE ST,SHARROW,,COMPLETED,CITY
3,16TH ST,SHARROW,,COMPLETED,CITY
4,TEMPLE AVE,SHARROW,,COMPLETED,CITY
5,PINE ST,SHARROW,,COMPLETED,CITY
6,COCHRANE ST,SHARROW,,COMPLETED,CITY
7,BAGLEY ST,SHARROW,,COMPLETED,CITY
8,PORTER ST,SHARROW,,COMPLETED,CITY
9,7TH ST,SHARROW,,COMPLETED,CITY
10,GRAND BLVD,SHARROW,,COMPLETED,CITY
11,GRAND BLVD,SHARROW,,COMPLETED,CITY
12,GRAND BLVD,SHARROW,,COMPLETED,CITY
13,GRAND BLVD,SHARROW,,COMPLETED,CITY
14,GRAND BLVD,SHARROW,,COMPLETED,CITY
15,GRAND BLVD,SHARROW,,COMPLETED,CITY
16,GRAND BLVD,SHARROW,,COMPLETED,CITY
17,GRAND BLVD,SHARROW,,COMPLETED,CITY
18,GRAND BLVD,SHARROW,,COMPLETED,CITY
19,GRAND BLVD,SHARROW,,COMPLETED,CITY
20,CONNER ST,SHARROW,,COMPLETED,CITY
21,CONNER ST,SHARROW,,COMPLETED,CITY
22,STATE FAIR BLVD,SHARROW,,COMPLETED,CITY
23,CHICAGO BLVD,SHARROW,,COMPLETED,CITY
24,CHICAGO BLVD,SHARROW,,COMPLETED,CITY
25,CHICAGO BLVD,SHARROW,,COMPLETED,CITY
26,OAKMAN BLVD,SHARROW,,COMPLETED,CITY
27,OAKMAN BLVD,SHARROW,,COMPLETED,CITY
28,OAKMAN BLVD,SHARROW,,COMPLETED,CITY
29,OAKMAN BLVD,SHARROW,,COMPLETED,CITY
30,OAKMAN BLVD,SHARROW,,COMPLETED,CITY
31,OAKMAN BLVD,SHARROW,,COMPLETED,CITY
32,OAKMAN BLVD,SHARROW,,COMPLETED,CITY
33,OAKMAN BLVD,SHARROW,,COMPLETED,CITY
34,WARREN AVE,SHARROW,,COMPLETED,CITY
35,WARREN AVE,SHARROW,,COMPLETED,CITY
36,DEXTER AVE,SHARROW,,COMPLETED,CITY
37,GRAND BLVD,BIKE LANE,,COMPLETED,CITY
38,MARTIN LUTHER KING JR BLVD,BIKE LANE,,COMPLETED,CITY
39,TRUMBULL AVE,BIKE LANE,,COMPLETED,CITY
40,ROSA PARKS BLVD,BIKE LANE,,COMPLETED,CITY
41,ROSA PARKS BLVD,BIKE LANE,,COMPLETED,CITY
42,14TH ST,BIKE LANE,,COMPLETED,CITY
43,BAGLEY ST,BIKE LANE,,COMPLETED,CITY
44,GRAND BLVD,BIKE LANE,,COMPLETED,CITY
45,GRAND BLVD,BIKE LANE,,COMPLETED,CITY
46,VERNOR HWY,BIKE LANE,,COMPLETED,CITY
47,DIX HWY,BIKE LANE,,COMPLETED,CITY
48,CENTRAL AVE,BIKE LANE,,COMPLETED,CITY
49,MICHIGAN AVE,BIKE LANE,,COMPLETED,MDOT
51,LAFAYETTE AVE,BIKE LANE,,COMPLETED,CITY
53,GRAND BLVD,BIKE LANE,,COMPLETED,CITY
54,GRAND BLVD,BIKE LANE,,COMPLETED,CITY
